0,zip_code,CAD Number,Response_Date,Call Date,Initial Problem Type,Final Problem Type,Block Address,Time PhonePickUp,Time First Unit Arrived,delta,minutes
"4701 Monterey Oaks Blvd, Austin, TX 78749, USA",78749,121030422,2012-04-12 08:50:38,04/12/2012,Burglary Non Res Service,Burglary Non Res Service,11000 Block S 1st St,2012-04-12 08:50:15.000,2012-04-12 10:43:47.000,0 days 01:53:32.000000000,113.533333333
"804 E Braker Ln, Austin, TX 78753, USA",78753,122121448,2012-07-30 17:33:52,07/30/2012,Subject Stop,Subject Stop,804-800 Block E BRAKER LN,2012-07-30 17:33:52.000,2012-07-30 17:33:52.000,0 days 00:00:00.000000000,0.0
"2300 Westworth Cir, Austin, TX 78704, USA",78704,133121937,2013-11-08 22:24:32,11/08/2013,DOC / C.O. Violation,DOC / C.O. Violation,2300 Block Westworth Cir,2013-11-08 22:23:24.000,2013-11-08 23:36:03.000,0 days 01:12:39.000000000,72.65
"100 W Oltorf St, Austin, TX 78704, USA",78704,171210198,2017-05-01 03:12:57,05/01/2017,On Site Incident,Subject Stop,100 Block W Oltorf St,2017-05-01 03:12:57.000,2017-05-01 03:12:57.000,0 days 00:00:00.000000000,0.0
"1200 W 38th St, Austin, TX 78705, USA",78705,171210198,2017-05-01 03:12:57,05/01/2017,On Site Incident,Subject Stop,100 Block W Oltorf St,2017-05-01 03:12:57.000,2017-05-01 03:12:57.000,0 days 00:00:00.000000000,0.0
"12100 Samsung Blvd, Austin, TX 78754, USA",78754,171721713,2017-06-21 20:36:12,06/21/2017,Hang-ups,xABANDONED VEHICLE,12100 Block Samsung,2017-06-21 20:35:58.000,2017-06-21 20:52:24.960,0 days 00:16:26.960000000,16.4333333333
"9400 Parkfield Dr, Austin, TX 78758, USA",78758,171721713,2017-06-21 20:36:12,06/21/2017,Hang-ups,xABANDONED VEHICLE,12100 Block Samsung,2017-06-21 20:35:58.000,2017-06-21 20:52:24.960,0 days 00:16:26.960000000,16.4333333333
"7500 S IH 35 Frontage Rd, Austin, TX 78745, USA",78745,172871872,2017-10-14 22:32:45,10/14/2017,Service,Service,7500 Block S Ih 35 Svrd Sb,2017-10-14 22:31:46.000,2017-10-14 23:17:13.670,0 days 00:45:27.670000000,45.45
"1600 Toomey Rd, Austin, TX 78704, USA",78704,120010604,2012-01-01 01:56:32,01/01/2012,Auto Theft Service,xASSIST COMPLAINANT,5600 Block N Ih 35 Svrd Sb,2012-01-01 01:53:11.000,2012-01-01 08:16:00.000,0 days 06:22:49.000000000,382.816666667
"1100 Fieldcrest Dr, Austin, TX 78704, USA",78704,133480629,2013-12-14 09:38:32,12/14/2013,Alarm Burglar,xFALSE BURGLAR ALARM,1100 Block Fieldcrest Dr,2013-12-14 09:37:36.000,2013-12-14 09:49:38.000,0 days 00:12:02.000000000,12.0333333333
"8900 Fiskville Cemetery Rd, Austin, TX 78753, USA",78753,133480629,2013-12-14 09:38:32,12/14/2013,Alarm Burglar,xFALSE BURGLAR ALARM,1100 Block Fieldcrest Dr,2013-12-14 09:37:36.000,2013-12-14 09:49:38.000,0 days 00:12:02.000000000,12.0333333333
"2400 Cromwell Cir, Austin, TX 78741, USA",78741,140761061,2014-03-17 15:16:36,03/17/2014,DOC / C.O. Violation,DOC / C.O. Violation,2400 Block Cromwell Cir,2014-03-17 15:15:14.000,2014-03-17 15:32:25.000,0 days 00:17:11.000000000,17.1833333333
"800 E 6th St, Austin, TX 78702, USA",78702,140761061,2014-03-17 15:16:36,03/17/2014,DOC / C.O. Violation,DOC / C.O. Violation,2400 Block Cromwell Cir,2014-03-17 15:15:14.000,2014-03-17 15:32:25.000,0 days 00:17:11.000000000,17.1833333333
"1800 E Oltorf St, Austin, TX 78741, USA",78741,160302051,2016-01-30 23:54:47,01/30/2016,Trespass Urgent,xASSIST COMPLAINANT,1800 Block E Oltorf St,2016-01-30 23:52:56.000,2016-01-31 00:04:26.000,0 days 00:11:30.000000000,11.5
"11300 Avering Ln, Austin, TX 78754, USA",78754,160302051,2016-01-30 23:54:47,01/30/2016,Trespass Urgent,xASSIST COMPLAINANT,1800 Block E Oltorf St,2016-01-30 23:52:56.000,2016-01-31 00:04:26.000,0 days 00:11:30.000000000,11.5
"9600 N Lamar Blvd, Austin, TX 78753, USA",78753,161431584,2016-05-22 21:50:22,05/22/2016,Traffic Stop,Traffic Stop,9600 Block N Lamar Blvd,2016-05-22 21:50:22.000,2016-05-22 21:50:22.000,0 days 00:00:00.000000000,0.0
"1700 Waterston Ave, Austin, TX 78703, USA",78703,171350204,2017-05-15 04:49:57,05/15/2017,Suspicious Person,Prowler HS,1700 Block Waterston Ave,2017-05-15 04:49:25.000,2017-05-15 04:55:01.870,0 days 00:05:36.870000000,5.6
"1900 Hearthside Dr, Austin, TX 78757, USA",78757,171350204,2017-05-15 04:49:57,05/15/2017,Suspicious Person,Prowler HS,1700 Block Waterston Ave,2017-05-15 04:49:25.000,2017-05-15 04:55:01.870,0 days 00:05:36.870000000,5.6
"4537 S IH 35 Frontage Rd, Austin, TX 78744, USA",78744,171331797,2017-05-13 22:58:27,05/13/2017,Check Welfare Service,xASSIST COMPLAINANT,10500 Block S Ih 35 Svrd Nb,2017-05-13 22:57:54.000,2017-05-13 23:12:15.800,0 days 00:14:21.800000000,14.35
"800 W 10th St, Austin, TX 78701, USA",78701,171331797,2017-05-13 22:58:27,05/13/2017,Check Welfare Service,xASSIST COMPLAINANT,10500 Block S Ih 35 Svrd Nb,2017-05-13 22:57:54.000,2017-05-13 23:12:15.800,0 days 00:14:21.800000000,14.35
"10600 N Lamar Blvd, Austin, TX 78753, USA",78753,120151349,2012-01-15 18:59:24,01/15/2012,DOC / C.O. Violation,DOC / C.O. Violation,10600 Block N Lamar Blvd,2012-01-15 18:58:56.000,2012-01-15 19:02:58.000,0 days 00:04:02.000000000,4.03333333333
"4400 E Riverside Dr, Austin, TX 78741, USA",78741,120151349,2012-01-15 18:59:24,01/15/2012,DOC / C.O. Violation,DOC / C.O. Violation,10600 Block N Lamar Blvd,2012-01-15 18:58:56.000,2012-01-15 19:02:58.000,0 days 00:04:02.000000000,4.03333333333
"400 W 6th St, Austin, TX 78701, USA",78701,162320871,2016-08-19 12:19:33,08/19/2016,Traffic Hazard,Traffic Hazard,12300 Block N Ih 35 Sb,2016-08-19 12:16:56.000,2016-08-19 12:20:33.000,0 days 00:03:37.000000000,3.61666666667
"3300 Presidential Blvd, Austin, TX 78719, USA",78719,120780118,2012-03-18 00:41:49,03/18/2012,*Assist Non Emergency,*Assist Non Emergency,3300 Block Presidential Blvd,2012-03-18 00:40:19.000,2012-03-18 00:47:37.000,0 days 00:07:18.000000000,7.3
"2000 Deer Run Dr, Austin, TX 78744, USA",78744,120780118,2012-03-18 00:41:49,03/18/2012,*Assist Non Emergency,*Assist Non Emergency,3300 Block Presidential Blvd,2012-03-18 00:40:19.000,2012-03-18 00:47:37.000,0 days 00:07:18.000000000,7.3
"5200 Regency Cove, Austin, TX 78724, USA",78724,122680823,2012-09-24 12:14:03,09/24/2012,Attempted Suicide HS,xEDP COMMITMENT,5200 Block Regency Cv,2012-09-24 12:13:02.000,2012-09-24 12:19:01.000,0 days 00:05:59.000000000,5.98333333333
"9052 Galewood Dr, Austin, TX 78758, USA",78758,151770482,2015-06-26 08:28:12,06/26/2015,Nature Unknown Urgent,Nature Unknown Urgent,9000 Block - 9052 Galewood Dr,2015-06-26 08:27:19.000,2015-06-26 08:30:58.000,0 days 00:03:39.000000000,3.65
"9300 Manchaca Rd, Austin, TX 78748, USA",78748,161741524,2016-06-22 19:32:50,06/22/2016,Disturbance Other,xFAMILY DISTURBANCE,9300 Block Manchaca Rd,2016-06-22 19:30:58.000,2016-06-22 19:41:14.000,0 days 00:10:16.000000000,10.2666666667
"800 Rio Grande St, Austin, TX 78701, USA",78701,161741524,2016-06-22 19:32:50,06/22/2016,Disturbance Other,xFAMILY DISTURBANCE,9300 Block Manchaca Rd,2016-06-22 19:30:58.000,2016-06-22 19:41:14.000,0 days 00:10:16.000000000,10.2666666667
"6500 US-290, Austin, TX 78735, USA",78735,132740616,2013-10-01 09:44:54,10/01/2013,Working Traffic,Working Traffic,6500 Block W US 290 HWY,2013-10-01 09:44:54.000,2013-10-01 09:44:54.000,0 days 00:00:00.000000000,0.0
"610 W 5th St #603, Austin, TX 78701, USA",78701,132740616,2013-10-01 09:44:54,10/01/2013,Working Traffic,Working Traffic,6500 Block W US 290 HWY,2013-10-01 09:44:54.000,2013-10-01 09:44:54.000,0 days 00:00:00.000000000,0.0
"600 Trinity St, Austin, TX 78701, USA",78701,143570155,2014-12-23 02:34:43,12/23/2014,Traffic Stop,Traffic Stop,600 Block TRINITY ST,2014-12-23 02:34:43.000,2014-12-23 02:34:43.000,0 days 00:00:00.000000000,0.0
"2600 Canterbury St, Austin, TX 78702, USA",78702,143570155,2014-12-23 02:34:43,12/23/2014,Traffic Stop,Traffic Stop,600 Block TRINITY ST,2014-12-23 02:34:43.000,2014-12-23 02:34:43.000,0 days 00:00:00.000000000,0.0
"6200 Stiles Cove, Austin, TX 78721, USA",78721,162210818,2016-08-08 12:37:31,08/08/2016,Disturbance Other,Disturbance Other,6200 Block Stiles Cv,2016-08-08 12:35:56.000,2016-08-08 12:54:16.000,0 days 00:18:20.000000000,18.3333333333
"1800 E 51st St, Austin, TX 78723, USA",78723,162210818,2016-08-08 12:37:31,08/08/2016,Disturbance Other,Disturbance Other,6200 Block Stiles Cv,2016-08-08 12:35:56.000,2016-08-08 12:54:16.000,0 days 00:18:20.000000000,18.3333333333
"9800 Quail Blvd, Austin, TX 78758, USA",78758,133200296,2013-11-16 02:17:17,11/16/2013,Suspicious Person,Suspicious Person,9800 Block Quail Blvd,2013-11-16 02:15:45.000,2013-11-16 02:20:31.000,0 days 00:04:46.000000000,4.76666666667
"0 Rainey St, Austin, TX 78701, USA",78701,142640439,2014-09-21 03:31:12,09/21/2014,Check Welfare Urgent,Check Welfare Urgent,00 Block Rainey St,2014-09-21 03:30:45.000,2014-09-21 03:33:47.000,0 days 00:03:02.000000000,3.03333333333
"1000 W Dittmar Rd, Austin, TX 78745, USA",78745,142640439,2014-09-21 03:31:12,09/21/2014,Check Welfare Urgent,Check Welfare Urgent,00 Block Rainey St,2014-09-21 03:30:45.000,2014-09-21 03:33:47.000,0 days 00:03:02.000000000,3.03333333333
"4400 Whispering Valley Dr, Austin, TX 78727, USA",78727,143531982,2014-12-19 23:18:06,12/19/2014,Traffic Stop,Traffic Stop,4400 Block WHISPERING VALLEY DR,2014-12-19 23:18:06.000,2014-12-19 23:18:06.000,0 days 00:00:00.000000000,0.0
"600 E 15th St, Austin, TX 78701, USA",78701,152930016,2015-10-20 00:12:21,10/20/2015,Check Welfare Service,Service,600 Block E 15th St,2015-10-20 00:11:59.000,2015-10-20 00:23:54.000,0 days 00:11:55.000000000,11.9166666667
"10500 W Parmer Ln, Austin, TX 78717, USA",78717,152930016,2015-10-20 00:12:21,10/20/2015,Check Welfare Service,Service,600 Block E 15th St,2015-10-20 00:11:59.000,2015-10-20 00:23:54.000,0 days 00:11:55.000000000,11.9166666667
"400 E 6th St, Austin, TX 78701, USA",78701,152780366,2015-10-05 07:05:51,10/05/2015,Subject Stop,Subject Stop,200 Block N Ih 35 Svrd Sb,2015-10-05 07:05:51.000,2015-10-05 07:05:51.000,0 days 00:00:00.000000000,0.0
"100 W 6th St, Austin, TX 78701, USA",78701,163610874,2016-12-26 16:15:21,12/26/2016,DOC / C.O. Violation,DOC / C.O. Violation,100 Block W 6th St,2016-12-26 16:15:14.000,2016-12-26 16:58:20.000,0 days 00:43:06.000000000,43.1
"2000 Rivers Edge Way, Austin, TX 78741, USA",78741,163610874,2016-12-26 16:15:21,12/26/2016,DOC / C.O. Violation,DOC / C.O. Violation,100 Block W 6th St,2016-12-26 16:15:14.000,2016-12-26 16:58:20.000,0 days 00:43:06.000000000,43.1
"700 E 8th St, Austin, TX 78701, USA",78701,172120341,2017-07-31 07:21:59,07/31/2017,Special Assignment,Special Assignment,700 Block E 8th St,2017-07-31 07:21:59.000,2017-07-31 07:21:59.000,0 days 00:00:00.000000000,0.0
"9400 Grouse Meadow Ln, Austin, TX 78758, USA",78758,172120341,2017-07-31 07:21:59,07/31/2017,Special Assignment,Special Assignment,700 Block E 8th St,2017-07-31 07:21:59.000,2017-07-31 07:21:59.000,0 days 00:00:00.000000000,0.0
"2300 Berkeley Ave, Austin, TX 78745, USA",78745,151541910,2015-06-03 21:46:52,06/03/2015,Disturbance Other,Disturbance Other,2300 Block Berkeley Ave,2015-06-03 21:46:52.000,2015-06-03 21:51:32.000,0 days 00:04:40.000000000,4.66666666667
"4900 Duval St, Austin, TX 78751, USA",78751,151541910,2015-06-03 21:46:52,06/03/2015,Disturbance Other,Disturbance Other,2300 Block Berkeley Ave,2015-06-03 21:46:52.000,2015-06-03 21:51:32.000,0 days 00:04:40.000000000,4.66666666667
"Austin, TX 78704, USA",78704,161410792,2016-05-20 11:38:49,05/20/2016,Crash Urgent,Crash Urgent,7600 Block S Ih 35 Nb,2016-05-20 11:36:59.000,2016-05-20 11:48:12.000,0 days 00:11:13.000000000,11.2166666667
"500 Neches St, Austin, TX 78701, USA",78701,161410792,2016-05-20 11:38:49,05/20/2016,Crash Urgent,Crash Urgent,7600 Block S Ih 35 Nb,2016-05-20 11:36:59.000,2016-05-20 11:48:12.000,0 days 00:11:13.000000000,11.2166666667
"1000 Rutland Dr, Austin, TX 78758, USA",78758,130631764,2013-03-04 20:52:30,03/04/2013,Disturbance HS,xASSAULT WITH INJURY,1000 Block Rutland Dr,2013-03-04 20:52:23.000,2013-03-04 21:04:05.000,0 days 00:11:42.000000000,11.7
"8800 Tallwood Dr, Austin, TX 78759, USA",78759,130631764,2013-03-04 20:52:30,03/04/2013,Disturbance HS,xASSAULT WITH INJURY,1000 Block Rutland Dr,2013-03-04 20:52:23.000,2013-03-04 21:04:05.000,0 days 00:11:42.000000000,11.7
"6600 Hergotz Ln, Austin, TX 78742, USA",78742,140922064,2014-04-02 22:15:39,04/02/2014,Disturbance HS,xASSAULT BY CONTACT,6600 Block Hergotz Ln,2014-04-02 22:13:17.000,2014-04-02 22:23:22.000,0 days 00:10:05.000000000,10.0833333333
"3626 Lake Austin Blvd, Austin, TX 78703, USA",78703,140922064,2014-04-02 22:15:39,04/02/2014,Disturbance HS,xASSAULT BY CONTACT,6600 Block Hergotz Ln,2014-04-02 22:13:17.000,2014-04-02 22:23:22.000,0 days 00:10:05.000000000,10.0833333333
"2200 Andrew Zilker Rd, Austin, TX 78746, USA",78746,141161607,2014-04-26 19:10:09,04/26/2014,DOC / C.O. Violation,DOC / C.O. Violation,2200 Block Andrew Zilker Rd,2014-04-26 19:08:43.000,2014-04-26 20:54:39.000,0 days 01:45:56.000000000,105.933333333
"2100 Rio Grande St, Austin, TX 78705, USA",78705,141161607,2014-04-26 19:10:09,04/26/2014,DOC / C.O. Violation,DOC / C.O. Violation,2200 Block Andrew Zilker Rd,2014-04-26 19:08:43.000,2014-04-26 20:54:39.000,0 days 01:45:56.000000000,105.933333333
"1600 Royal Crest Dr, Austin, TX 78741, USA",78741,143231019,2014-11-19 14:35:46,11/19/2014,Traffic Hazard,Traffic Hazard,6600 Block S Ih 35 Sb,2014-11-19 14:35:01.000,2014-11-19 14:45:33.000,0 days 00:10:32.000000000,10.5333333333
"2800 Bartons Bluff Ln, Austin, TX 78746, USA",78746,170302048,2017-01-30 23:27:29,01/30/2017,DOC / C.O. Violation,DOC / C.O. Violation,2800 Block Bartons Bluff Ln,2017-01-30 23:26:55.000,2017-01-31 00:01:17.737,0 days 00:34:22.737000000,34.3666666667
"600 Brazos St, Austin, TX 78701, USA",78701,170302048,2017-01-30 23:27:29,01/30/2017,DOC / C.O. Violation,DOC / C.O. Violation,2800 Block Bartons Bluff Ln,2017-01-30 23:26:55.000,2017-01-31 00:01:17.737,0 days 00:34:22.737000000,34.3666666667
"2101 Elmont Dr, Austin, TX 78741, USA",78741,123100035,2012-11-05 00:22:18,11/05/2012,Disturbance Urgent,Information,Town Lake Cir / Elmont Dr,2012-11-05 00:21:58.000,2012-11-05 00:23:33.000,0 days 00:01:35.000000000,1.58333333333
"400 W 24th St, Austin, TX 78705, USA",78705,123100035,2012-11-05 00:22:18,11/05/2012,Disturbance Urgent,Information,Town Lake Cir / Elmont Dr,2012-11-05 00:21:58.000,2012-11-05 00:23:33.000,0 days 00:01:35.000000000,1.58333333333
"14028 North US 183, Austin, TX 78717, United States",78717,172700403,2017-09-27 08:15:07,09/27/2017,Disturbance Other,Disturbance Other,7200 Block N Ih 35 Svrd Sb,2017-09-27 08:13:02.000,2017-09-27 08:39:46.303,0 days 00:26:44.303000000,26.7333333333
"2100 Maple Ave, Austin, TX 78722, USA",78722,141991853,2014-07-18 19:51:19,07/18/2014,Missing Service,Missing Service,2100 Block Maple Ave,2014-07-18 19:49:03.000,2014-07-18 20:05:34.000,0 days 00:16:31.000000000,16.5166666667
"700 W Elliott St, Austin, TX 78753, USA",78753,141991853,2014-07-18 19:51:19,07/18/2014,Missing Service,Missing Service,2100 Block Maple Ave,2014-07-18 19:49:03.000,2014-07-18 20:05:34.000,0 days 00:16:31.000000000,16.5166666667
"2600 Gonzales St, Austin, TX 78702, USA",78702,153321429,2015-11-28 23:05:48,11/28/2015,zCHECKING AREA,zCHECKING AREA,2600 Block GONZALES ST,2015-11-28 23:05:48.000,2015-11-28 23:05:49.000,0 days 00:00:01.000000000,0.0166666666667
"3600 Presidential Blvd, Austin, TX 78719, USA",78719,153321429,2015-11-28 23:05:48,11/28/2015,zCHECKING AREA,zCHECKING AREA,2600 Block GONZALES ST,2015-11-28 23:05:48.000,2015-11-28 23:05:49.000,0 days 00:00:01.000000000,0.0166666666667
"1800 True Cove, Austin, TX 78748, USA",78748,160711014,2016-03-11 14:42:56,03/11/2016,Suspicious Person,Suspicious Person,1800 Block True Cv,2016-03-11 14:41:45.000,2016-03-11 15:08:17.000,0 days 00:26:32.000000000,26.5333333333
"7900 Burleson Rd, Austin, TX 78744, USA",78744,160711014,2016-03-11 14:42:56,03/11/2016,Suspicious Person,Suspicious Person,1800 Block True Cv,2016-03-11 14:41:45.000,2016-03-11 15:08:17.000,0 days 00:26:32.000000000,26.5333333333
"9200 Balcones Club Dr, Austin, TX 78750, USA",78750,171040282,2017-04-14 03:20:49,04/14/2017,Gun HS,Public Intoxication,9200 Block Balcones Club Dr,2017-04-14 03:19:59.000,2017-04-14 03:24:24.573,0 days 00:04:25.573000000,4.41666666667
"10400 Brownie Dr, Austin, TX 78753, USA",78753,171381683,2017-05-18 20:01:55,05/18/2017,Disturbance HS,xASSAULT WITH INJURY,10400 Block BROWNIE DR,2017-05-18 20:00:59.000,2017-05-18 20:03:35.090,0 days 00:02:36.090000000,2.6
"800 Nile St, Austin, TX 78702, USA",78702,132400320,2013-08-28 06:09:49,08/28/2013,Hang-ups,Hang-ups,800 Block Nile St,2013-08-28 06:09:41.000,2013-08-28 06:26:35.000,0 days 00:16:54.000000000,16.9
"Hargrave St, Austin, TX 78702, USA",78702,132400320,2013-08-28 06:09:49,08/28/2013,Hang-ups,Hang-ups,800 Block Nile St,2013-08-28 06:09:41.000,2013-08-28 06:26:35.000,0 days 00:16:54.000000000,16.9
"1100 Nickols Ave, Austin, TX 78721, USA",78721,131482225,2013-05-28 23:53:03,05/28/2013,Check Welfare Service,xFALSE REPORT TO POLICE,1100 Block Nickols Ave,2013-05-28 23:52:23.000,2013-05-28 23:58:29.000,0 days 00:06:06.000000000,6.1
"1200 Westheimer Dr, Austin, TX 78752, USA",78752,131482225,2013-05-28 23:53:03,05/28/2013,Check Welfare Service,xFALSE REPORT TO POLICE,1100 Block Nickols Ave,2013-05-28 23:52:23.000,2013-05-28 23:58:29.000,0 days 00:06:06.000000000,6.1
"3200 Duval St, Austin, TX 78705, USA",78705,132202101,2013-08-08 23:45:58,08/08/2013,Burglary HS,xASSIST COMPLAINANT,3200 Block Duval St,2013-08-08 23:45:31.000,2013-08-08 23:49:57.000,0 days 00:04:26.000000000,4.43333333333
"2200 Perry Ave, Austin, TX 78704, USA",78704,132202101,2013-08-08 23:45:58,08/08/2013,Burglary HS,xASSIST COMPLAINANT,3200 Block Duval St,2013-08-08 23:45:31.000,2013-08-08 23:49:57.000,0 days 00:04:26.000000000,4.43333333333
"800 W Howard Ln, Austin, TX 78753, USA",78753,152920150,2015-10-19 02:32:43,10/19/2015,Alarm Burglar,xFALSE BURGLAR ALARM,800 Block W Howard Ln,2015-10-19 02:31:54.000,2015-10-19 02:53:40.000,0 days 00:21:46.000000000,21.7666666667
"700 Valdez St, Austin, TX 78741, USA",78741,152920150,2015-10-19 02:32:43,10/19/2015,Alarm Burglar,xFALSE BURGLAR ALARM,800 Block W Howard Ln,2015-10-19 02:31:54.000,2015-10-19 02:53:40.000,0 days 00:21:46.000000000,21.7666666667
"602 E 7th St, Austin, TX 78701, USA",78701,150781240,2015-03-19 15:13:00,03/19/2015,Subject Stop,Subject Stop,E 7TH ST / RED RIVER ST,2015-03-19 15:13:00.000,2015-03-19 15:13:00.000,0 days 00:00:00.000000000,0.0
"601 Camp Craft Rd, Austin, TX 78746, USA",78746,150781240,2015-03-19 15:13:00,03/19/2015,Subject Stop,Subject Stop,E 7TH ST / RED RIVER ST,2015-03-19 15:13:00.000,2015-03-19 15:13:00.000,0 days 00:00:00.000000000,0.0
"5600 N Lamar Blvd, Austin, TX 78756, USA",78756,170461528,2017-02-15 19:49:45,02/15/2017,Robbery Urgent,xASSIST COMPLAINANT,5600 Block N Lamar Blvd,2017-02-15 19:49:16.000,2017-02-15 19:55:04.210,0 days 00:05:48.210000000,5.8
"300 San Jacinto Blvd, Austin, TX 78701, USA",78701,161461439,2016-05-25 17:46:08,05/25/2016,DOC / C.O. Violation,DOC / C.O. Violation,300 Block San Jacinto Blvd,2016-05-25 17:44:51.000,2016-05-25 18:24:25.000,0 days 00:39:34.000000000,39.5666666667
"12800 Harrisglenn Dr, Austin, TX 78753, USA",78753,161461439,2016-05-25 17:46:08,05/25/2016,DOC / C.O. Violation,DOC / C.O. Violation,300 Block San Jacinto Blvd,2016-05-25 17:44:51.000,2016-05-25 18:24:25.000,0 days 00:39:34.000000000,39.5666666667
"3100 Jack Cook Dr, Austin, TX 78723, USA",78723,162630363,2016-09-19 08:01:12,09/19/2016,Nature Unknown Urgent,zEDP-J,3100 Block Jack Cook Dr,2016-09-19 08:00:53.000,2016-09-19 08:07:21.000,0 days 00:06:28.000000000,6.46666666667
"2200 Mission Hill Dr, Austin, TX 78741, USA",78741,162630363,2016-09-19 08:01:12,09/19/2016,Nature Unknown Urgent,zEDP-J,3100 Block Jack Cook Dr,2016-09-19 08:00:53.000,2016-09-19 08:07:21.000,0 days 00:06:28.000000000,6.46666666667
"5000 Acorn Grove Ct, Austin, TX 78744, USA",78744,171740412,2017-06-23 06:55:09,06/23/2017,Trespass Urgent,Trespass Urgent,7100 Block N Ih 35 Svrd Sb,2017-06-23 06:54:27.000,2017-06-23 07:39:31.343,0 days 00:45:04.343000000,45.0666666667
"700 Culp St, Austin, TX 78741, USA",78741,132860313,2013-10-13 02:08:51,10/13/2013,DOC / C.O. Violation,DOC / C.O. Violation,700 Block Culp St,2013-10-13 02:08:45.000,2013-10-13 02:21:27.000,0 days 00:12:42.000000000,12.7
"3600 Presidential Blvd, Austin, TX 78719, USA",78719,132860313,2013-10-13 02:08:51,10/13/2013,DOC / C.O. Violation,DOC / C.O. Violation,700 Block Culp St,2013-10-13 02:08:45.000,2013-10-13 02:21:27.000,0 days 00:12:42.000000000,12.7
"8100 Salt Springs Dr, Austin, TX 78747, USA",78747,120461221,2012-02-15 15:56:43,02/15/2012,Disturbance Other,Disturbance Other,8100 Block Salt Springs Dr,2012-02-15 15:56:04.000,2012-02-15 16:16:33.000,0 days 00:20:29.000000000,20.4833333333
"9600 Middle Fiskville Rd, Austin, TX 78753, USA",78753,120461221,2012-02-15 15:56:43,02/15/2012,Disturbance Other,Disturbance Other,8100 Block Salt Springs Dr,2012-02-15 15:56:04.000,2012-02-15 16:16:33.000,0 days 00:20:29.000000000,20.4833333333
"900 E 32nd St, Austin, TX 78705, USA",78705,122420797,2012-08-29 21:42:59,08/29/2012,On Site Incident,zFOLLOW UP INVESTIGATION,900 Block E 32ND ST,2012-08-29 21:42:59.000,2012-08-29 21:42:59.000,0 days 00:00:00.000000000,0.0
"1000 Rosemont St, Austin, TX 78723, USA",78723,122420797,2012-08-29 21:42:59,08/29/2012,On Site Incident,zFOLLOW UP INVESTIGATION,900 Block E 32ND ST,2012-08-29 21:42:59.000,2012-08-29 21:42:59.000,0 days 00:00:00.000000000,0.0
"411 E Rundberg Ln, Austin, TX 78753, USA",78753,122361619,2012-08-23 20:26:51,08/23/2012,TRAFFIC STOP,TRAFFIC STOP,411-500 Block E RUNDBERG LN,2012-08-23 20:26:51.000,2012-08-23 20:26:51.000,0 days 00:00:00.000000000,0.0
"2100 Airport Blvd, Austin, TX 78722, USA",78722,122361619,2012-08-23 20:26:51,08/23/2012,TRAFFIC STOP,TRAFFIC STOP,411-500 Block E RUNDBERG LN,2012-08-23 20:26:51.000,2012-08-23 20:26:51.000,0 days 00:00:00.000000000,0.0
"7700 Northcross Dr, Austin, TX 78757, USA",78757,132010804,2013-07-20 10:32:14,07/20/2013,Suspicious Person,Suspicious Person,7700 Block Northcross Dr,2013-07-20 10:31:41.000,2013-07-20 10:43:53.000,0 days 00:12:12.000000000,12.2
"2100 Wickersham Ln, Austin, TX 78741, USA",78741,132010804,2013-07-20 10:32:14,07/20/2013,Suspicious Person,Suspicious Person,7700 Block Northcross Dr,2013-07-20 10:31:41.000,2013-07-20 10:43:53.000,0 days 00:12:12.000000000,12.2
"8000 Mesa Dr, Austin, TX 78731, USA",78731,140550720,2014-02-24 12:20:53,02/24/2014,Alarm Burglar,xFALSE BURGLAR ALARM,8000 Block Mesa Dr,2014-02-24 12:19:24.000,2014-02-24 12:48:12.000,0 days 00:28:48.000000000,28.8
"7700 Mesa Dr, Austin, TX 78731, USA",78731,140550720,2014-02-24 12:20:53,02/24/2014,Alarm Burglar,xFALSE BURGLAR ALARM,8000 Block Mesa Dr,2014-02-24 12:19:24.000,2014-02-24 12:48:12.000,0 days 00:28:48.000000000,28.8
"6100 Orleans Dr, Austin, TX 78744, USA",78744,141861394,2014-07-05 12:57:20,07/05/2014,Disturbance Other,xREQUEST APPREHEN,Guadalupe St / W 5th St,2014-07-05 12:56:59.000,2014-07-05 13:03:28.000,0 days 00:06:29.000000000,6.48333333333
"300 W 15th St, Austin, TX 78701, USA",78701,172780040,2017-10-05 00:37:19,10/05/2017,Disturbance Service,Disturbance Service,300 Block W 15th St,2017-10-05 00:36:20.000,2017-10-05 01:12:13.920,0 days 00:35:53.920000000,35.8833333333
"500 W 35th St, Austin, TX 78703, USA",78703,172780040,2017-10-05 00:37:19,10/05/2017,Disturbance Service,Disturbance Service,300 Block W 15th St,2017-10-05 00:36:20.000,2017-10-05 01:12:13.920,0 days 00:35:53.920000000,35.8833333333
"700 W 51st St, Austin, TX 78751, USA",78751,142241300,2014-08-12 17:14:29,08/12/2014,Crash Service,xDWI / FELONY,700 Block W 51ST ST,2014-08-12 17:10:19.000,2014-08-12 17:23:28.000,0 days 00:13:09.000000000,13.15
"4500 E Martin Luther King Jr Blvd, Austin, TX 78721, USA",78721,142241300,2014-08-12 17:14:29,08/12/2014,Crash Service,xDWI / FELONY,700 Block W 51ST ST,2014-08-12 17:10:19.000,2014-08-12 17:23:28.000,0 days 00:13:09.000000000,13.15
